DATE,Closure Type
4/9/73,closed
4/10/73,closed
4/11/73,closed
1/5/78,closed
12/8/80,closed
2/10/81,early dismissal
2/11/81,closed
1/11/82,closed
1/12/82,delayed
1/15/82,early dismissal
1/22/82,delayed
3/4/82,delayed
2/1/83,early dismissal
2/2/83,closed
2/3/83,closed
2/4/83,delayed
12/17/84,early dismissal
12/2/85,closed
12/21/89,closed
3/8/90,closed
3/9/90,closed
1/20/93,closed
1/18/94,closed
2/25/94,closed
12/7/94,closed
1/27/95,closed
12/8/95,early dismissal
1/19/96,closed
1/26/96,closed
1/29/96,closed
2/2/96,closed
1/10/97,closed
1/16/97,closed
1/21/98,closed
3/9/98,closed
3/10/98,closed
3/8/99,closed
2/18/00,early dismissal
12/11/00,closed
12/12/00,closed
12/18/00,early dismissal
1/29/01,closed
2/8/01,closed
2/9/01,closed
3/15/04,early dismissal
1/3/05,closed
1/5/05,closed
1/6/05,closed
3/1/07,early dismissal
3/2/07,closed
12/11/07,closed
2/6/08,closed
12/18/08,early dismissal
12/19/08,closed
1/15/09,closed
12/8/09,early dismissal
12/9/09,closed
12/10/09,closed
1/7/10,closed
1/8/10,closed
1/20/10,closed
1/21/10,closed
2/1/11,early dismissal
2/2/11,closed
12/20/12,closed
12/21/12,closed
1/30/13,closed
2/21/13,early dismissal
12/20/13,delayed
1/6/14,closed
1/7/14,delayed
1/23/14,closed
2/20/14,early dismissal
1/7/15,closed
2/2/16,closed
1/11/18,closed
1/18/19,early dismissal
1/22/19,closed
1/23/19,closed
1/30/19,closed
1/31/19,delayed
1/10/20,early dismissal
1/17/20,closed
2/13/20,delayed
2/15/21,virtual snow day
2/16/21,virtual snow day
1/26/21,virtual snow day
1/15/21,virtual snow day
1/14/22,closed
1/6/22,delayed
12/15/21,early dismissal
2/16/23,closed
1/9/23,closed
1/10/23,closed